date,eur_sent_mean,eur_subj_mean,eur_sent_std,eur_subj_std,usd_sent_mean,usd_subj_mean,usd_sent_std,usd_subj_std,eurusd_open,eurusd_high,eurusd_low,eurusd_close,eurusd_vol
2016-07-01 08:00:00,0.0293693781269,0.194515482023,0.142838083973,0.258554628988,0.0268547747632,0.220401468718,0.199405648059,0.265278185652,1.10992,1.10997,1.10902,1.10908,1175
2016-07-01 08:30:00,0.0103421404301,0.171602670397,0.134114538676,0.244153171484,0.0354703870151,0.19960846501,0.182641172283,0.256434751673,1.10911,1.10937,1.10783,1.10797,1864
2016-07-01 09:00:00,0.0169824871487,0.192109907266,0.144814971632,0.264147646555,0.0579928298606,0.191994921851,0.212109110316,0.250462076771,1.10797,1.10841,1.10716,1.10798,3032
2016-07-01 09:30:00,0.0508759146666,0.188804057737,0.170240834647,0.257271724552,0.0643628006609,0.165342339285,0.183916666091,0.243820332822,1.10797,1.10942,1.10788,1.10879,2671
2016-07-01 10:00:00,0.0206373839865,0.163447664814,0.130377004166,0.253569125199,0.0439715512847,0.173111663099,0.168629365001,0.262460745777,1.10880,1.10988,1.10847,1.10883,4239
2016-07-01 10:30:00,0.025164494088,0.173703562814,0.128882966076,0.248325658953,0.0503894325729,0.169681124825,0.164699201601,0.233944356551,1.10883,1.11162,1.10883,1.11064,5268
2016-07-01 11:00:00,0.0165424675767,0.180237911702,0.14848597803,0.255026345086,0.0326992215054,0.20423056344,0.151117964773,0.251866417538,1.11065,1.11144,1.11011,1.11084,4341
2016-07-01 11:30:00,0.0143786920105,0.22151493791,0.140106389652,0.246245851139,0.0291588175941,0.22281988702,0.174107048937,0.249877543857,1.11077,1.11112,1.10939,1.11051,4655
2016-07-01 12:00:00,0.0127047659942,0.251642703733,0.137765156059,0.2520218402,0.03764900638,0.283945620088,0.182311952409,0.273412601014,1.11050,1.11104,1.11007,1.11033,3276
2016-07-01 12:00:00,0.0127047659942,0.251642703733,0.137765156059,0.2520218402,0.0443550159465,0.230521982918,0.179543276835,0.269093661683,1.11050,1.11104,1.11007,1.11033,3276
2016-07-01 12:00:00,0.0196499540863,0.212318241579,0.13709310899,0.254057173891,0.03764900638,0.283945620088,0.182311952409,0.273412601014,1.11050,1.11104,1.11007,1.11033,3276
2016-07-01 12:00:00,0.0196499540863,0.212318241579,0.13709310899,0.254057173891,0.0443550159465,0.230521982918,0.179543276835,0.269093661683,1.11050,1.11104,1.11007,1.11033,3276
2016-07-01 12:30:00,0.0356921722264,0.204796722851,0.156573426227,0.259106146426,0.0578580435819,0.245759630153,0.213394968591,0.265249742782,1.11032,1.11134,1.11007,1.11059,3433
2016-07-01 13:00:00,0.0356859313328,0.227420815627,0.16465213504,0.270217845764,0.0477945778285,0.232935473161,0.176168954989,0.252076384118,1.11059,1.11119,1.11015,1.11051,3593
2016-07-01 13:30:00,0.0199066850311,0.229382934465,0.127413208071,0.248041360461,0.0392607736532,0.230650815898,0.168340689865,0.248622985922,1.11051,1.11238,1.11047,1.11228,3613
