date,sentiment,subjectivity,sentiment_var,subjectivity_var
2016-07-01 08:00:00,0.0293693781269,0.194515482023,0.142838083973,0.258554628988
2016-07-01 08:30:00,0.0103421404301,0.171602670397,0.134114538676,0.244153171484
2016-07-01 09:00:00,0.0169824871487,0.192109907266,0.144814971632,0.264147646555
2016-07-01 09:30:00,0.0508759146666,0.188804057737,0.170240834647,0.257271724552
2016-07-01 10:00:00,0.0206373839865,0.163447664814,0.130377004166,0.253569125199
2016-07-01 10:30:00,0.025164494088,0.173703562814,0.128882966076,0.248325658953
2016-07-01 11:00:00,0.0165424675767,0.180237911702,0.14848597803,0.255026345086
2016-07-01 11:30:00,0.0143786920105,0.22151493791,0.140106389652,0.246245851139
2016-07-01 12:00:00,0.0127047659942,0.251642703733,0.137765156059,0.2520218402
2016-07-01 12:00:00,0.0196499540863,0.212318241579,0.13709310899,0.254057173891
2016-07-01 12:30:00,0.0356921722264,0.204796722851,0.156573426227,0.259106146426
2016-07-01 13:00:00,0.0356859313328,0.227420815627,0.16465213504,0.270217845764
2016-07-01 13:30:00,0.0199066850311,0.229382934465,0.127413208071,0.248041360461
2016-07-01 14:00:00,0.0195523885957,0.214465999541,0.125950533542,0.236371338576
2016-07-01 14:30:00,0.041688496743,0.222397173385,0.160625429848,0.256877037244
2016-07-01 15:00:00,0.0237762743817,0.194076921252,0.164222803639,0.250351415913
2016-07-01 15:00:00,-0.0287053571429,0.167991071429,0.210541924593,0.258709295182
2016-07-01 15:30:00,0.0473436869425,0.218869275841,0.177160036239,0.255866707554
2016-07-01 16:00:00,0.0177834154399,0.204089305386,0.15541600407,0.245427558767
2016-07-01 16:30:00,0.022501583908,0.164214660011,0.137484073885,0.252648802531
2016-07-01 17:00:00,0.0168155333049,0.177393281118,0.142426585259,0.259050695934
2016-07-01 17:30:00,0.01261737908,0.227324813695,0.162461061619,0.257231640061
2016-07-01 18:00:00,0.0396455493764,0.209856117308,0.173612444977,0.2684480358
2016-07-01 18:30:00,0.0288635309691,0.184625415857,0.144937220228,0.244147116741
2016-07-01 19:00:00,0.00692180149843,0.223989069259,0.143998393044,0.250113748892
2016-07-01 19:00:00,0.0410484522092,0.269053846286,0.187823028044,0.30417428385
2016-07-01 19:30:00,0.0333436452713,0.17492003367,0.128641341781,0.240274875965
2016-07-01 20:00:00,0.0129301850657,0.195445740964,0.159700797905,0.26708957722
2016-07-01 20:30:00,0.0191445808096,0.196015383688,0.151085962041,0.248232902847
2016-07-01 21:00:00,0.0159001221568,0.136218255372,0.123016984826,0.237178251643
2016-07-01 21:30:00,0.0603642236566,0.147781004131,0.206267706007,0.286644950005
2016-07-01 22:00:00,0.0376977698927,0.129911425268,0.124944218236,0.262699643465
2016-07-01 22:30:00,0.0248846624475,0.108939999711,0.140302534572,0.254108763636
2016-07-01 23:00:00,0.0453688987862,0.114434977084,0.151114576647,0.232245599163
2016-07-01 23:30:00,0.0245438579134,0.0758273650665,0.127522347598,0.189157842419
2016-07-02 00:00:00,0.0370969483192,0.138821717084,0.17678608245,0.262886985051
2016-07-02 00:30:00,0.0377075082128,0.120551871297,0.130853725244,0.237851056029
2016-07-02 01:00:00,0.0439580552911,0.106200290595,0.110043224532,0.20187656061
2016-07-02 01:30:00,0.0255074627515,0.12399324571,0.128286181791,0.241742679175
2016-07-02 02:00:00,-0.0115384615385,0.0692307692308,0.0416025147169,0.170218562367
2016-07-02 02:00:00,0.0536905852687,0.136126282126,0.162107778966,0.270594049666
2016-07-02 02:30:00,0.0370041186883,0.118744460218,0.165825109262,0.248909979579
2016-07-02 03:00:00,0.0188290536068,0.0686476789247,0.0961030831837,0.19710328158
2016-07-02 03:30:00,0.0392228775397,0.121251038358,0.127256484635,0.239768728935
2016-07-02 04:00:00,0.0348337070254,0.142139783485,0.124620582333,0.258787221918
2016-07-02 04:30:00,0.0362218767149,0.155522529114,0.166279346254,0.260244353535
2016-07-02 05:00:00,0.0415161226222,0.163842620036,0.113006262234,0.301346715113
2016-07-02 05:30:00,0.00552077979733,0.123073411875,0.172336179507,0.240676921745
2016-07-02 06:00:00,0.0399448875637,0.136991865661,0.16023148032,0.253488881801
2016-07-02 06:30:00,0.0315417509209,0.131913527506,0.136862733572,0.275580307591
2016-07-02 07:00:00,0.0311548207583,0.129634748434,0.135057957655,0.251711746226
2016-07-02 07:30:00,0.0482501684793,0.127855604688,0.174802886672,0.24889366334
2016-07-02 08:00:00,0.029492597029,0.111740789775,0.135264714092,0.238077544533
2016-07-02 08:30:00,0.032749162007,0.135088033109,0.138939651528,0.254559510831
2016-07-02 09:00:00,0.0245684297152,0.130598452805,0.142598327475,0.252890838043
2016-07-02 09:30:00,0.0567696258217,0.147616662658,0.195657373422,0.268314524182
2016-07-02 10:00:00,0.0172083511168,0.0428001849481,0.0938173738901,0.144284670211
2016-07-02 10:00:00,0.0480609379509,0.134763748196,0.161011592294,0.25535603997
2016-07-02 10:30:00,0.0337338513666,0.105006299829,0.181424479713,0.227135279213
2016-07-02 11:00:00,0.0528484891431,0.121683469474,0.209554237444,0.245291496967
2016-07-02 11:30:00,0.0417730681288,0.137198907098,0.145408981093,0.23427614008
2016-07-02 12:00:00,0.0324539219241,0.10959832187,0.144885328213,0.242206007301
2016-07-02 12:30:00,0.0412839089018,0.136584051933,0.197276560158,0.273119629783
2016-07-02 13:00:00,0.0391933091655,0.0968718524732,0.145423151997,0.231768590439
2016-07-02 13:30:00,0.0829814503453,0.184614325655,0.230933574133,0.313604975994
