<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
EURUSD;30;20160801;173000;1.1165000;1.1172900;1.1160000;1.1169900;48155
EURUSD;30;20160801;180000;1.1169300;1.1175000;1.1163000;1.1169300;46209
EURUSD;30;20160801;183000;1.1169900;1.1180000;1.1168000;1.1174800;39266
EURUSD;30;20160801;190000;1.1175000;1.1180000;1.1170000;1.1175200;26327
EURUSD;30;20160801;193000;1.1175200;1.1177400;1.1167000;1.1170300;24899
EURUSD;30;20160801;200000;1.1170300;1.1172500;1.1165000;1.1171000;20129
EURUSD;30;20160801;203000;1.1170600;1.1172500;1.1164000;1.1168000;19243
EURUSD;30;20160801;210000;1.1167200;1.1170800;1.1162000;1.1167800;17754
EURUSD;30;20160801;213000;1.1167900;1.1171300;1.1164000;1.1168700;16728
EURUSD;30;20160801;220000;1.1171000;1.1171400;1.1162000;1.1168700;18953
EURUSD;30;20160801;223000;1.1169600;1.1169600;1.1159000;1.1161900;17938
EURUSD;30;20160801;230000;1.1161900;1.1168500;1.1156000;1.1167200;19831
EURUSD;30;20160801;233000;1.1167500;1.1168700;1.1159000;1.1161600;18899
EURUSD;30;20160802;000000;1.1161500;1.1164200;1.1155000;1.1160200;14937
EURUSD;30;20160802;003000;1.1161100;1.1164900;1.1156000;1.1160100;7121
EURUSD;30;20160802;010000;1.1160100;1.1164000;1.1155000;1.1163400;8272
EURUSD;30;20160802;013000;1.1163200;1.1166600;1.1158000;1.1163800;10791
EURUSD;30;20160802;020000;1.1163800;1.1166700;1.1159000;1.1165600;10156
EURUSD;30;20160802;023000;1.1166400;1.1167000;1.1157000;1.1164000;11359
EURUSD;30;20160802;030000;1.1164100;1.1167800;1.1160000;1.1166000;9914
EURUSD;30;20160802;033000;1.1166900;1.1174600;1.1163000;1.1173500;17747
EURUSD;30;20160802;040000;1.1174100;1.1175200;1.1168000;1.1172100;15121
EURUSD;30;20160802;043000;1.1172500;1.1174700;1.1162000;1.1165300;18904
EURUSD;30;20160802;050000;1.1165000;1.1169000;1.1160000;1.1164400;21576
EURUSD;30;20160802;053000;1.1164400;1.1169000;1.1159000;1.1165000;20846
EURUSD;30;20160802;060000;1.1165400;1.1172200;1.1162000;1.1171100;14090
EURUSD;30;20160802;063000;1.1170600;1.1172000;1.1164000;1.1170900;12529
EURUSD;30;20160802;070000;1.1170800;1.1173000;1.1166000;1.1171700;12628
EURUSD;30;20160802;073000;1.1171900;1.1175400;1.1166000;1.1172500;13738
EURUSD;30;20160802;080000;1.1173600;1.1180800;1.1169000;1.1176500;30108
EURUSD;30;20160802;083000;1.1176200;1.1179200;1.1171000;1.1178100;19399
EURUSD;30;20160802;090000;1.1178100;1.1184700;1.1172000;1.1177200;26834
EURUSD;30;20160802;093000;1.1177500;1.1184700;1.1173000;1.1175700;33605
EURUSD;30;20160802;100000;1.1174900;1.1187000;1.1173000;1.1183500;28842
EURUSD;30;20160802;103000;1.1182000;1.1210000;1.1179000;1.1201000;58571
EURUSD;30;20160802;110000;1.1200900;1.1207100;1.1196000;1.1199400;56341
EURUSD;30;20160802;113000;1.1199700;1.1201000;1.1192000;1.1200100;46576
EURUSD;30;20160802;120000;1.1200500;1.1202500;1.1190000;1.1201600;42283
EURUSD;30;20160802;123000;1.1201900;1.1203200;1.1195000;1.1199600;36716
EURUSD;30;20160802;130000;1.1199200;1.1200500;1.1191000;1.1195800;36764
EURUSD;30;20160802;133000;1.1195900;1.1201200;1.1191000;1.1201200;35087
EURUSD;30;20160802;140000;1.1200800;1.1204400;1.1188000;1.1192000;33336
EURUSD;30;20160802;143000;1.1191900;1.1194000;1.1184000;1.1191400;34355
EURUSD;30;20160802;150000;1.1191300;1.1195500;1.1187000;1.1192800;35837
EURUSD;30;20160802;153000;1.1193100;1.1203000;1.1186000;1.1198600;49249
EURUSD;30;20160802;160000;1.1198700;1.1206000;1.1189000;1.1200700;51784
EURUSD;30;20160802;163000;1.1200600;1.1213000;1.1200000;1.1211900;48942
EURUSD;30;20160802;170000;1.1211900;1.1216400;1.1207000;1.1215200;46455
EURUSD;30;20160802;173000;1.1215200;1.1220700;1.1210000;1.1214200;55556
EURUSD;30;20160802;180000;1.1213200;1.1225000;1.1208000;1.1219400;51962
EURUSD;30;20160802;183000;1.1219900;1.1230000;1.1217000;1.1224600;46681
EURUSD;30;20160802;190000;1.1224500;1.1230500;1.1222000;1.1223300;35440
EURUSD;30;20160802;193000;1.1224100;1.1228000;1.1217000;1.1227300;36093
EURUSD;30;20160802;200000;1.1227600;1.1229200;1.1217000;1.1221900;32720
EURUSD;30;20160802;203000;1.1222900;1.1233000;1.1221000;1.1228900;25851
EURUSD;30;20160802;210000;1.1229100;1.1229800;1.1222000;1.1228700;24584
EURUSD;30;20160802;213000;1.1228000;1.1233800;1.1225000;1.1229500;21652
EURUSD;30;20160802;220000;1.1229800;1.1232700;1.1221000;1.1226000;23128
EURUSD;30;20160802;223000;1.1226400;1.1226800;1.1218000;1.1223400;21126
EURUSD;30;20160802;230000;1.1223100;1.1225000;1.1218000;1.1221300;19758
EURUSD;30;20160802;233000;1.1221300;1.1225600;1.1217000;1.1222400;14863
EURUSD;30;20160803;000000;1.1222600;1.1225400;1.1219000;1.1221300;13776
EURUSD;30;20160803;003000;1.1220900;1.1229000;1.1218600;1.1223200;7270
EURUSD;30;20160803;010000;1.1224200;1.1225000;1.1218000;1.1221500;5970
EURUSD;30;20160803;013000;1.1221500;1.1223000;1.1217000;1.1219800;24171
EURUSD;30;20160803;020000;1.1219000;1.1221600;1.1216000;1.1219000;19092
EURUSD;30;20160803;023000;1.1219700;1.1221600;1.1215000;1.1219100;13403
EURUSD;30;20160803;030000;1.1219100;1.1220300;1.1215000;1.1217500;10612
EURUSD;30;20160803;033000;1.1217800;1.1219200;1.1213000;1.1215600;18585
EURUSD;30;20160803;040000;1.1216500;1.1218200;1.1211000;1.1212800;18137
EURUSD;30;20160803;043000;1.1213400;1.1215800;1.1209000;1.1211700;19184
EURUSD;30;20160803;050000;1.1211600;1.1214200;1.1208000;1.1212300;18812
EURUSD;30;20160803;053000;1.1212700;1.1216700;1.1208000;1.1210600;17466
EURUSD;30;20160803;060000;1.1210300;1.1214900;1.1205000;1.1208600;15136
EURUSD;30;20160803;063000;1.1208600;1.1212000;1.1205000;1.1211700;10079
EURUSD;30;20160803;070000;1.1211600;1.1215300;1.1209000;1.1212500;18559
EURUSD;30;20160803;073000;1.1212500;1.1216000;1.1208000;1.1214200;17153
EURUSD;30;20160803;080000;1.1213800;1.1217200;1.1209000;1.1213400;22821
EURUSD;30;20160803;083000;1.1213000;1.1214400;1.1207000;1.1212000;14911
EURUSD;30;20160803;090000;1.1212000;1.1212400;1.1206000;1.1209300;17918
EURUSD;30;20160803;093000;1.1209300;1.1212200;1.1201000;1.1202800;28349
EURUSD;30;20160803;100000;1.1203600;1.1206200;1.1198000;1.1201700;31522
EURUSD;30;20160803;103000;1.1201600;1.1209500;1.1199600;1.1208400;43202
EURUSD;30;20160803;110000;1.1209100;1.1215200;1.1205900;1.1211600;38094
EURUSD;30;20160803;113000;1.1211700;1.1213200;1.1195000;1.1200600;37881
EURUSD;30;20160803;120000;1.1200100;1.1202400;1.1195000;1.1199700;37847
EURUSD;30;20160803;123000;1.1199800;1.1201200;1.1190000;1.1194300;33257
EURUSD;30;20160803;130000;1.1194500;1.1195600;1.1187000;1.1191400;32705
EURUSD;30;20160803;133000;1.1191400;1.1200100;1.1187000;1.1198100;31032
EURUSD;30;20160803;140000;1.1198000;1.1204700;1.1195000;1.1198300;30705
EURUSD;30;20160803;143000;1.1198500;1.1202700;1.1194000;1.1198100;29040
EURUSD;30;20160803;150000;1.1198100;1.1202900;1.1194000;1.1201400;30810
EURUSD;30;20160803;153000;1.1202200;1.1204700;1.1188000;1.1195700;42364
EURUSD;30;20160803;160000;1.1195600;1.1200200;1.1188000;1.1192400;42081
EURUSD;30;20160803;163000;1.1193200;1.1196400;1.1174200;1.1175900;44822
EURUSD;30;20160803;170000;1.1175600;1.1184400;1.1173000;1.1180700;44918
EURUSD;30;20160803;173000;1.1181800;1.1185500;1.1160000;1.1166100;56158
EURUSD;30;20160803;180000;1.1165700;1.1173900;1.1161900;1.1172200;45297
EURUSD;30;20160803;183000;1.1172400;1.1175800;1.1169000;1.1174600;36288
EURUSD;30;20160803;190000;1.1174700;1.1180000;1.1167000;1.1170000;27862
EURUSD;30;20160803;193000;1.1170000;1.1172100;1.1163000;1.1168400;25849
EURUSD;30;20160803;200000;1.1169300;1.1176500;1.1166000;1.1173600;25592
EURUSD;30;20160803;203000;1.1173600;1.1176300;1.1162000;1.1165600;19634
EURUSD;30;20160803;210000;1.1165500;1.1165600;1.1141000;1.1143600;36952
EURUSD;30;20160803;213000;1.1143300;1.1146600;1.1138000;1.1141800;24200
EURUSD;30;20160803;220000;1.1142500;1.1146300;1.1138000;1.1145200;19817
EURUSD;30;20160803;223000;1.1145200;1.1149200;1.1142000;1.1146800;16018
EURUSD;30;20160803;230000;1.1146900;1.1150500;1.1143000;1.1147800;17088
EURUSD;30;20160803;233000;1.1147600;1.1149600;1.1144000;1.1147300;11596
EURUSD;30;20160804;000000;1.1147300;1.1151300;1.1144000;1.1148700;12622
EURUSD;30;20160804;003000;1.1147700;1.1151000;1.1142000;1.1149900;2889
EURUSD;30;20160804;010000;1.1149900;1.1151200;1.1145000;1.1147700;7947
EURUSD;30;20160804;013000;1.1148200;1.1152000;1.1144000;1.1148000;16286
EURUSD;30;20160804;020000;1.1148000;1.1150000;1.1143000;1.1149100;14242
EURUSD;30;20160804;023000;1.1148800;1.1149900;1.1142000;1.1147300;9466
EURUSD;30;20160804;030000;1.1147700;1.1151700;1.1143000;1.1149500;12357
EURUSD;30;20160804;033000;1.1150100;1.1152900;1.1145000;1.1148500;22929
EURUSD;30;20160804;040000;1.1148500;1.1149300;1.1141000;1.1143000;18845
EURUSD;30;20160804;043000;1.1144000;1.1145900;1.1132000;1.1141100;22411
EURUSD;30;20160804;050000;1.1141400;1.1156300;1.1137000;1.1151300;25863
EURUSD;30;20160804;053000;1.1151700;1.1153300;1.1146000;1.1151500;15729
EURUSD;30;20160804;060000;1.1151300;1.1151600;1.1140000;1.1148200;17386
EURUSD;30;20160804;063000;1.1148900;1.1149100;1.1141000;1.1145400;13168
EURUSD;30;20160804;070000;1.1145900;1.1149000;1.1141000;1.1144500;15865
EURUSD;30;20160804;073000;1.1144500;1.1145000;1.1138000;1.1143000;12779
EURUSD;30;20160804;080000;1.1143000;1.1147200;1.1141000;1.1145900;13325
EURUSD;30;20160804;083000;1.1145700;1.1146500;1.1138000;1.1145400;16366
EURUSD;30;20160804;090000;1.1145400;1.1145800;1.1137000;1.1140200;24024
EURUSD;30;20160804;093000;1.1140100;1.1145000;1.1130700;1.1144900;31056
EURUSD;30;20160804;100000;1.1144700;1.1145300;1.1126000;1.1128800;34255
EURUSD;30;20160804;103000;1.1128600;1.1140000;1.1125000;1.1137400;44869
EURUSD;30;20160804;110000;1.1137500;1.1141600;1.1130000;1.1135200;38246
EURUSD;30;20160804;113000;1.1135600;1.1140800;1.1131000;1.1135000;34364
EURUSD;30;20160804;120000;1.1135700;1.1140000;1.1131000;1.1134300;34337
EURUSD;30;20160804;123000;1.1134400;1.1135400;1.1127000;1.1130700;36379
EURUSD;30;20160804;130000;1.1130600;1.1131200;1.1122900;1.1126000;36125
EURUSD;30;20160804;133000;1.1126800;1.1133200;1.1123000;1.1130100;34925
EURUSD;30;20160804;140000;1.1130800;1.1140000;1.1127000;1.1130500;36240
EURUSD;30;20160804;143000;1.1131000;1.1140000;1.1122000;1.1132700;69698
EURUSD;30;20160804;150000;1.1132000;1.1132900;1.1112900;1.1122000;64170
EURUSD;30;20160804;153000;1.1122000;1.1140000;1.1119000;1.1135300;52997
EURUSD;30;20160804;160000;1.1135300;1.1148000;1.1134000;1.1144100;50233
EURUSD;30;20160804;163000;1.1143900;1.1146500;1.1135000;1.1140200;44973
EURUSD;30;20160804;170000;1.1140800;1.1149000;1.1133000;1.1143200;52333
EURUSD;30;20160804;173000;1.1143600;1.1150000;1.1135000;1.1145300;52052
EURUSD;30;20160804;180000;1.1145100;1.1150000;1.1134000;1.1138800;45093
EURUSD;30;20160804;183000;1.1138800;1.1143100;1.1131000;1.1135400;44801
EURUSD;30;20160804;190000;1.1135400;1.1136800;1.1126000;1.1133100;29259
EURUSD;30;20160804;193000;1.1133100;1.1139300;1.1128000;1.1134300;27150
EURUSD;30;20160804;200000;1.1134000;1.1140400;1.1130000;1.1137300;24981
EURUSD;30;20160804;203000;1.1137300;1.1137600;1.1126000;1.1131800;24109
EURUSD;30;20160804;210000;1.1131800;1.1132500;1.1125000;1.1131500;18437
EURUSD;30;20160804;213000;1.1131300;1.1134000;1.1126000;1.1132700;15096
EURUSD;30;20160804;220000;1.1132700;1.1135000;1.1127000;1.1130200;18472
EURUSD;30;20160804;223000;1.1129800;1.1130400;1.1123000;1.1128700;16836
EURUSD;30;20160804;230000;1.1128700;1.1132600;1.1123000;1.1130600;15483
EURUSD;30;20160804;233000;1.1131500;1.1131600;1.1123000;1.1128900;10412
EURUSD;30;20160805;000000;1.1128900;1.1131300;1.1124000;1.1127600;14116
EURUSD;30;20160805;003000;1.1128400;1.1133300;1.1121800;1.1128400;5438
EURUSD;30;20160805;010000;1.1128400;1.1129500;1.1123000;1.1128100;5661
EURUSD;30;20160805;013000;1.1128100;1.1128300;1.1121000;1.1126100;15296
EURUSD;30;20160805;020000;1.1126200;1.1128500;1.1119000;1.1128300;13356
EURUSD;30;20160805;023000;1.1128300;1.1131800;1.1123000;1.1128400;10046
EURUSD;30;20160805;030000;1.1128700;1.1135000;1.1123000;1.1134400;9434
EURUSD;30;20160805;033000;1.1134400;1.1135000;1.1128000;1.1132100;15369
EURUSD;30;20160805;040000;1.1132000;1.1134000;1.1125000;1.1131800;15037
EURUSD;30;20160805;043000;1.1132100;1.1132200;1.1124000;1.1131600;15394
EURUSD;30;20160805;050000;1.1131600;1.1133800;1.1126000;1.1132100;17197
EURUSD;30;20160805;053000;1.1132300;1.1133000;1.1128000;1.1130800;11985
EURUSD;30;20160805;060000;1.1130800;1.1134900;1.1128000;1.1134600;15039
EURUSD;30;20160805;063000;1.1134400;1.1135700;1.1129000;1.1134900;14913
EURUSD;30;20160805;070000;1.1135200;1.1135200;1.1129000;1.1133300;13962
EURUSD;30;20160805;073000;1.1134200;1.1135600;1.1129000;1.1135500;14529
EURUSD;30;20160805;080000;1.1135400;1.1137000;1.1131000;1.1136500;10897
EURUSD;30;20160805;083000;1.1136500;1.1138800;1.1128000;1.1137900;16806
EURUSD;30;20160805;090000;1.1138100;1.1141100;1.1134000;1.1138400;17905
EURUSD;30;20160805;093000;1.1137700;1.1144400;1.1135900;1.1141400;20778
EURUSD;30;20160805;100000;1.1141500;1.1141600;1.1135000;1.1140800;19693
EURUSD;30;20160805;103000;1.1139900;1.1144600;1.1130000;1.1136700;37277
EURUSD;30;20160805;110000;1.1136600;1.1141000;1.1131000;1.1138800;32319
EURUSD;30;20160805;113000;1.1138800;1.1144600;1.1137000;1.1140400;30939
EURUSD;30;20160805;120000;1.1140400;1.1151300;1.1136000;1.1150000;37672
EURUSD;30;20160805;123000;1.1149800;1.1151900;1.1143000;1.1146800;29538
EURUSD;30;20160805;130000;1.1146700;1.1150000;1.1137000;1.1141500;28030
EURUSD;30;20160805;133000;1.1141600;1.1150000;1.1137000;1.1146000;26040
EURUSD;30;20160805;140000;1.1145200;1.1150000;1.1141000;1.1144600;32462
EURUSD;30;20160805;143000;1.1145500;1.1157900;1.1143700;1.1155200;32386
EURUSD;30;20160805;150000;1.1155300;1.1160500;1.1151000;1.1154400;35768
EURUSD;30;20160805;153000;1.1153800;1.1161300;1.1144100;1.1146600;44808
EURUSD;30;20160805;160000;1.1146200;1.1153000;1.1080000;1.1083400;90009
EURUSD;30;20160805;163000;1.1083500;1.1086000;1.1057000;1.1060900;71949
EURUSD;30;20160805;170000;1.1060200;1.1063700;1.1044000;1.1049400;64440
EURUSD;30;20160805;173000;1.1050200;1.1065800;1.1048000;1.1065300;48378
EURUSD;30;20160805;180000;1.1065500;1.1072300;1.1061400;1.1070600;43171
EURUSD;30;20160805;183000;1.1070100;1.1083700;1.1065000;1.1082500;43118
EURUSD;30;20160805;190000;1.1082100;1.1087400;1.1070000;1.1078800;38341
EURUSD;30;20160805;193000;1.1079400;1.1085000;1.1075000;1.1080400;26995
EURUSD;30;20160805;200000;1.1080300;1.1089500;1.1079000;1.1087000;22812
EURUSD;30;20160805;203000;1.1088000;1.1105300;1.1084000;1.1098600;29532
EURUSD;30;20160805;210000;1.1098600;1.1099200;1.1090000;1.1093400;18940
EURUSD;30;20160805;213000;1.1093200;1.1094300;1.1089000;1.1091100;15721
EURUSD;30;20160805;220000;1.1091700;1.1092700;1.1088000;1.1090700;18099
EURUSD;30;20160805;223000;1.1090700;1.1091600;1.1084000;1.1090500;18152
EURUSD;30;20160805;230000;1.1090700;1.1090700;1.1084000;1.1087500;18766
EURUSD;30;20160805;233000;1.1087500;1.1088300;1.1080000;1.1087100;16184
EURUSD;30;20160806;000000;1.1087800;1.1089100;1.1082000;1.1085400;16515
EURUSD;30;20160806;003000;1.1084500;1.1086400;1.1081000;1.1081000;70
EURUSD;30;20160807;223000;1.1082000;1.1083000;1.1071900;1.1082000;275
EURUSD;30;20160807;230000;1.1082000;1.1089000;1.1078000;1.1078000;98
EURUSD;30;20160807;233000;1.1078000;1.1079000;1.1078000;1.1078000;12
EURUSD;30;20160808;000000;1.1077000;1.1086400;1.1075000;1.1079000;118
EURUSD;30;20160808;003000;1.1084100;1.1091900;1.1079600;1.1090300;4222
EURUSD;30;20160808;010000;1.1090300;1.1093100;1.1081000;1.1085600;5052
EURUSD;30;20160808;013000;1.1084600;1.1086200;1.1078500;1.1083500;21143
EURUSD;30;20160808;020000;1.1083900;1.1091300;1.1081700;1.1090600;13791
EURUSD;30;20160808;023000;1.1090900;1.1092500;1.1085000;1.1088900;15099
EURUSD;30;20160808;030000;1.1089200;1.1089700;1.1084000;1.1086500;16154
EURUSD;30;20160808;033000;1.1086800;1.1089000;1.1081000;1.1087800;24460
EURUSD;30;20160808;040000;1.1087500;1.1088200;1.1078000;1.1083700;22238
EURUSD;30;20160808;043000;1.1083300;1.1089500;1.1081000;1.1088400;19071
EURUSD;30;20160808;050000;1.1088800;1.1093600;1.1086000;1.1089200;18547
EURUSD;30;20160808;053000;1.1092100;1.1096400;1.1089200;1.1093600;13184
EURUSD;30;20160808;060000;1.1093500;1.1099000;1.1089700;1.1096900;14593
EURUSD;30;20160808;063000;1.1096400;1.1101100;1.1094800;1.1100400;14722
EURUSD;30;20160808;070000;1.1100000;1.1104000;1.1098500;1.1102800;14371
EURUSD;30;20160808;073000;1.1103200;1.1103400;1.1097000;1.1100200;13701
EURUSD;30;20160808;080000;1.1099900;1.1105000;1.1098000;1.1104400;16114
EURUSD;30;20160808;083000;1.1104400;1.1105000;1.1099000;1.1103200;12565
EURUSD;30;20160808;090000;1.1103300;1.1103500;1.1088000;1.1094500;23565
EURUSD;30;20160808;093000;1.1094400;1.1100000;1.1089000;1.1094400;27155
EURUSD;30;20160808;100000;1.1094600;1.1094700;1.1079000;1.1081400;31144
EURUSD;30;20160808;103000;1.1081800;1.1090000;1.1080000;1.1086300;36233
EURUSD;30;20160808;110000;1.1086200;1.1091500;1.1082000;1.1088500;38645
EURUSD;30;20160808;113000;1.1088100;1.1091100;1.1077000;1.1088300;38148
EURUSD;30;20160808;120000;1.1088200;1.1090000;1.1079000;1.1086200;31810
EURUSD;30;20160808;123000;1.1086100;1.1097500;1.1083600;1.1093000;36100
EURUSD;30;20160808;130000;1.1093800;1.1095200;1.1086000;1.1091300;29276
EURUSD;30;20160808;133000;1.1090900;1.1093400;1.1081000;1.1087600;34336
EURUSD;30;20160808;140000;1.1087300;1.1090400;1.1079000;1.1081400;36035
EURUSD;30;20160808;143000;1.1080400;1.1084700;1.1076000;1.1079000;31031
EURUSD;30;20160808;150000;1.1079400;1.1086300;1.1076000;1.1083800;29124
EURUSD;30;20160808;153000;1.1084500;1.1090000;1.1080000;1.1084700;31792
EURUSD;30;20160808;160000;1.1084700;1.1090000;1.1080000;1.1086500;31343
EURUSD;30;20160808;163000;1.1086500;1.1090000;1.1073000;1.1077800;32931
EURUSD;30;20160808;170000;1.1078600;1.1082200;1.1071000;1.1073700;41671
EURUSD;30;20160808;173000;1.1073000;1.1086500;1.1071000;1.1077900;40391
EURUSD;30;20160808;180000;1.1078100;1.1083300;1.1071000;1.1074100;40421
EURUSD;30;20160808;183000;1.1074100;1.1080000;1.1070000;1.1077500;36128
EURUSD;30;20160808;190000;1.1077300;1.1080000;1.1070000;1.1076400;25191
EURUSD;30;20160808;193000;1.1076200;1.1080700;1.1072000;1.1075100;18462
EURUSD;30;20160808;200000;1.1075200;1.1079800;1.1073000;1.1076300;17751
EURUSD;30;20160808;203000;1.1076900;1.1079000;1.1072000;1.1078500;15375
EURUSD;30;20160808;210000;1.1078300;1.1081400;1.1075000;1.1080800;16360
EURUSD;30;20160808;213000;1.1080800;1.1084100;1.1075000;1.1083000;13528
EURUSD;30;20160808;220000;1.1083000;1.1085400;1.1079000;1.1081300;18585
EURUSD;30;20160808;223000;1.1081400;1.1086100;1.1078000;1.1084300;15168
EURUSD;30;20160808;230000;1.1084200;1.1084500;1.1077000;1.1082800;15128
EURUSD;30;20160808;233000;1.1082800;1.1083000;1.1078000;1.1082000;11189
EURUSD;30;20160809;000000;1.1081200;1.1088700;1.1078000;1.1088000;13579
EURUSD;30;20160809;003000;1.1086900;1.1090000;1.1081300;1.1085100;7148
EURUSD;30;20160809;010000;1.1084800;1.1088000;1.1079000;1.1084900;11553
EURUSD;30;20160809;013000;1.1085500;1.1086200;1.1079000;1.1083700;13174
EURUSD;30;20160809;020000;1.1084000;1.1085800;1.1079000;1.1084400;10429
EURUSD;30;20160809;023000;1.1083500;1.1086000;1.1078000;1.1084700;9724
EURUSD;30;20160809;030000;1.1085000;1.1087100;1.1080000;1.1085000;11620
EURUSD;30;20160809;033000;1.1084900;1.1088700;1.1082000;1.1088600;18591
EURUSD;30;20160809;040000;1.1088400;1.1090500;1.1083000;1.1085900;22624
EURUSD;30;20160809;043000;1.1085900;1.1087100;1.1080000;1.1084400;16616
EURUSD;30;20160809;050000;1.1084700;1.1085100;1.1074000;1.1076400;22826
EURUSD;30;20160809;053000;1.1075900;1.1079400;1.1069600;1.1077900;22331
EURUSD;30;20160809;060000;1.1078200;1.1081000;1.1072000;1.1080800;17713
EURUSD;30;20160809;063000;1.1080500;1.1083400;1.1077000;1.1082600;13590
EURUSD;30;20160809;070000;1.1082700;1.1088000;1.1079000;1.1085300;13375
EURUSD;30;20160809;073000;1.1084900;1.1086700;1.1079000;1.1083000;16153
EURUSD;30;20160809;080000;1.1082600;1.1086700;1.1079000;1.1082800;14459
EURUSD;30;20160809;083000;1.1082600;1.1083500;1.1075000;1.1079100;12170
EURUSD;30;20160809;090000;1.1078800;1.1079700;1.1073000;1.1076200;16452
EURUSD;30;20160809;093000;1.1076100;1.1080000;1.1069000;1.1076300;26540
EURUSD;30;20160809;100000;1.1076500;1.1080300;1.1071000;1.1073900;28417
EURUSD;30;20160809;103000;1.1074000;1.1080000;1.1068000;1.1074600;38130
EURUSD;30;20160809;110000;1.1074600;1.1080000;1.1070000;1.1076800;31883
EURUSD;30;20160809;113000;1.1077000;1.1082000;1.1073000;1.1081400;39253
EURUSD;30;20160809;120000;1.1081300;1.1095200;1.1077000;1.1093300;37274
EURUSD;30;20160809;123000;1.1094000;1.1096300;1.1088000;1.1090300;29712
EURUSD;30;20160809;130000;1.1090300;1.1092700;1.1084000;1.1088200;32422
EURUSD;30;20160809;133000;1.1088200;1.1090600;1.1081000;1.1086700;35794
EURUSD;30;20160809;140000;1.1087600;1.1090200;1.1081000;1.1084100;34176
EURUSD;30;20160809;143000;1.1084600;1.1090000;1.1073000;1.1077900;31437
EURUSD;30;20160809;150000;1.1077900;1.1080000;1.1072000;1.1077400;34343
EURUSD;30;20160809;153000;1.1077200;1.1080000;1.1072000;1.1074700;36739
EURUSD;30;20160809;160000;1.1075500;1.1080600;1.1073000;1.1079600;32811
EURUSD;30;20160809;163000;1.1078700;1.1090000;1.1076000;1.1086200;38218
EURUSD;30;20160809;170000;1.1085600;1.1110800;1.1083000;1.1101000;53631
EURUSD;30;20160809;173000;1.1100400;1.1122600;1.1098000;1.1118100;54798
EURUSD;30;20160809;180000;1.1117200;1.1119200;1.1104000;1.1110100;46754
EURUSD;30;20160809;183000;1.1110100;1.1114100;1.1104000;1.1111000;40878
