date,usd_sent_mean,usd_subj_mean,usd_sent_std,usd_subj_std
2016-07-01 08:00:00,0.0268547747632,0.220401468718,0.199405648059,0.265278185652
2016-07-01 08:30:00,0.0354703870151,0.19960846501,0.182641172283,0.256434751673
2016-07-01 09:00:00,0.0579928298606,0.191994921851,0.212109110316,0.250462076771
2016-07-01 09:30:00,0.0643628006609,0.165342339285,0.183916666091,0.243820332822
2016-07-01 10:00:00,0.0439715512847,0.173111663099,0.168629365001,0.262460745777
2016-07-01 10:30:00,0.0503894325729,0.169681124825,0.164699201601,0.233944356551
2016-07-01 11:00:00,0.0326992215054,0.20423056344,0.151117964773,0.251866417538
2016-07-01 11:30:00,0.0291588175941,0.22281988702,0.174107048937,0.249877543857
2016-07-01 12:00:00,0.03764900638,0.283945620088,0.182311952409,0.273412601014
2016-07-01 12:00:00,0.0443550159465,0.230521982918,0.179543276835,0.269093661683
2016-07-01 12:30:00,0.0578580435819,0.245759630153,0.213394968591,0.265249742782
2016-07-01 13:00:00,0.0477945778285,0.232935473161,0.176168954989,0.252076384118
2016-07-01 13:30:00,0.0392607736532,0.230650815898,0.168340689865,0.248622985922
2016-07-01 14:00:00,0.0371068225756,0.22686232393,0.167918314112,0.252296335701
2016-07-01 14:30:00,0.0588863284011,0.243911572711,0.191158522343,0.256426485836
2016-07-01 15:00:00,0.0537686340661,0.221662910026,0.199154089,0.275748470468
2016-07-01 15:00:00,0.014031986532,0.153131313131,0.0758985411792,0.212801852219
2016-07-01 15:30:00,0.0249498666959,0.277715437371,0.261028702333,0.303136569413
2016-07-01 16:00:00,0.0139359317181,0.211659831573,0.183927820855,0.257313764292
2016-07-01 16:30:00,0.0492012905362,0.221112038967,0.219625356408,0.290548047673
2016-07-01 17:00:00,0.0421212039422,0.213064988719,0.204671787511,0.282610915984
2016-07-01 17:30:00,0.0172455716972,0.264257931185,0.20052067781,0.249775664153
2016-07-01 18:00:00,0.0472796592809,0.26532142818,0.204817405435,0.266100427883
2016-07-01 18:30:00,0.0511912692564,0.220750651484,0.190658200781,0.256982848696
2016-07-01 19:00:00,0.047213791406,0.247360459684,0.232310650645,0.278935837181
2016-07-01 19:00:00,0.124462962963,0.249537037037,0.242863607067,0.266136586962
2016-07-01 19:30:00,0.0568925892133,0.244403903477,0.252783420227,0.288595488639
2016-07-01 20:00:00,0.0703021749579,0.292600659752,0.288398457675,0.33759278059
2016-07-01 20:30:00,0.0693498603987,0.217811015315,0.216713979291,0.274982341311
2016-07-01 21:00:00,0.0355375418197,0.218080272404,0.202131399428,0.267895383014
2016-07-01 21:30:00,0.0940259032287,0.199593665224,0.248956110848,0.267923998286
2016-07-01 22:00:00,0.0523764776334,0.20180333081,0.241240351515,0.287171622172
2016-07-01 22:30:00,0.0506190592725,0.160635778599,0.220669100585,0.272616546035
2016-07-01 23:00:00,0.0737140477599,0.196743290141,0.223194557964,0.278449020774
2016-07-01 23:30:00,0.10812150594,0.219993070222,0.258611720755,0.300301505364
2016-07-02 00:00:00,0.0900243748522,0.213767153476,0.22489828217,0.296266385693
2016-07-02 00:30:00,0.0996782003138,0.205180689458,0.236973627304,0.289049371143
2016-07-02 01:00:00,0.0821762363114,0.214640069053,0.233038604009,0.289949801914
2016-07-02 01:30:00,0.131168678544,0.234203423561,0.229393134242,0.314844144114
2016-07-02 02:00:00,0.051724137931,0.198275862069,0.250172354381,0.304279816775
2016-07-02 02:00:00,0.119969290842,0.363045852354,0.223419798548,0.366972044921
2016-07-02 02:30:00,0.100162393559,0.191058735638,0.214720936839,0.277838596664
2016-07-02 03:00:00,0.0638519927185,0.231110344458,0.237819806736,0.285685902605
2016-07-02 03:30:00,0.134811128199,0.215841961807,0.237946207152,0.265566368624
2016-07-02 04:00:00,0.138372057768,0.281140032882,0.260849340994,0.330197157611
2016-07-02 04:30:00,0.115472123658,0.275633111299,0.25297290664,0.313840100386
2016-07-02 05:00:00,0.0933020758555,0.198942765777,0.19914441288,0.256482770302
2016-07-02 05:30:00,0.134693493426,0.223184889586,0.240701819243,0.277186066891
2016-07-02 06:00:00,0.0841008043804,0.201889841878,0.221862910829,0.267444847388
2016-07-02 06:30:00,0.112923925387,0.197721698451,0.223272924409,0.271155062331
2016-07-02 07:00:00,0.103822138728,0.194005644949,0.235244020499,0.26259771176
2016-07-02 07:30:00,0.0904061730753,0.190050674815,0.211259079198,0.262144582021
2016-07-02 08:00:00,0.109333853046,0.249266450071,0.2097588812,0.315930257696
2016-07-02 08:30:00,0.129078681332,0.222507283172,0.214593496214,0.259922324159
2016-07-02 09:00:00,0.105546877712,0.198887500434,0.224763247559,0.267531163842
2016-07-02 09:30:00,0.153378614139,0.255770027074,0.236263068736,0.282544601907
2016-07-02 10:00:00,0.0235256410256,0.16405982906,0.174043190957,0.240214485142
2016-07-02 10:00:00,0.153613534264,0.232758024994,0.255204248087,0.278632398197
2016-07-02 10:30:00,0.159087027368,0.272297553235,0.281921103838,0.313707610462
2016-07-02 11:00:00,0.131771249616,0.21254930589,0.286990374193,0.270611600341
2016-07-02 11:30:00,0.136604586575,0.268344886625,0.259738046184,0.279270791616
2016-07-02 12:00:00,0.12122153299,0.297202695368,0.262536719326,0.334772426822
2016-07-02 12:30:00,0.116145034271,0.254792101972,0.250144256474,0.313793583628
2016-07-02 13:00:00,0.111480571295,0.251883446415,0.235589783517,0.320434622709
2016-07-02 13:30:00,0.122133868102,0.235034811376,0.26544078232,0.305720490815
2016-07-02 14:00:00,0.0951274488599,0.262671535015,0.2294684296,0.326679420813
